event_id,time,latitude,longitude,depth_km,magnitude,magnitude_type,region
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlr0&format=quakeml,2023-02-06 11:28:01.235000+00:00,37.9321,38.246,13.126,4.3,mb,"10 km S of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnwp&format=quakeml,2023-02-06 11:28:33.812000+00:00,37.9264,36.9995,18.104,4.2,mb,"22 km SW of Ekinözü, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnuc&format=quakeml,2023-02-06 11:30:44.548000+00:00,38.1794,37.955,11.962,4.1,mb,"12 km NE of Do?an?ehir, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlr9&format=quakeml,2023-02-06 11:35:28.583000+00:00,37.9417,37.351,17.733,4.5,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlr7&format=quakeml,2023-02-06 11:39:41.665000+00:00,38.0622,36.5678,11.405,4.8,mb,"7 km NE of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jntb&format=quakeml,2023-02-06 11:44:09.385000+00:00,38.1471,38.0506,16.478,4.3,mb,eastern Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlra&format=quakeml,2023-02-06 11:50:04.398000+00:00,37.9721,36.3402,5.716,4.5,mb,"14 km WSW of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jm76&format=quakeml,2023-02-06 11:51:22.063000+00:00,38.016,37.7225,16.818,4.5,mb,"15 km WSW of Do?an?ehir, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jntd&format=quakeml,2023-02-06 11:55:57.601000+00:00,38.0599,36.6805,7.09,4.3,mb,"16 km ENE of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlrb&format=quakeml,2023-02-06 11:58:37.429000+00:00,38.0509,37.5686,15.351,4.7,mb,"14 km NE of Nurhak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlrc&format=quakeml,2023-02-06 12:02:11.275000+00:00,38.0582,36.5114,8.516,6.0,mb,"4 km NNE of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnwq&format=quakeml,2023-02-06 12:07:32.722000+00:00,38.0169,36.4016,8.28,4.4,mb,"8 km W of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlrg&format=quakeml,2023-02-06 12:13:48.646000+00:00,37.9248,37.3761,17.77,4.7,mb,"7 km SW of Nurhak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlrh&format=quakeml,2023-02-06 12:21:18.492000+00:00,38.0621,36.4541,8.221,4.4,mb,"5 km NW of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jntg&format=quakeml,2023-02-06 12:31:40.752000+00:00,37.8798,37.4824,16.174,4.2,mb,"10 km SSE of Nurhak, Turkey"
